0,1,2,3
٢٠٢٣,٢٠٢٤,إﻳﻀﺎ ح,ﻟﻠﺴﻨﺘﻴ ﻦ اﻟﻤﻨﺘﻬ ﻴﺘﻴ ﻦ ﻓﻲ ٣١ دﻳﺴﻤﺒ ﺮ
,,,اﻷﻧﺸﻄﺔ اﻻﺳﺘﺜﻤﺎرﻳ ﺔ
(۱۰٬٤٥٦٬٥۱۸),(۱۰٬۱۱٤٬۳۲۰),,ﺷﺮاء ﻣﻤﺘﻠ�ت وﻣﺼﺎﻧﻊ وﻣﻌﺪات
(۲۹٬۷۷۰),(٤۲٬۱۲٤),۱۲,ﺷﺮاء اﺳﺘﺜﻤﺎرات ﻓﻲ أدوات ﺣﻘﻮق اﻟﻤﻠﻜﻴﺔ
۲۸٦٬۹۷۸,٥۰٬۰۰۰,۱۱,ﻣﺘﺤﺼﻼت ﻣﻦ اﺳﺘﺤﻘﺎق اﺳﺘﺜﻤﺎرات ﻓﻲ أدوات دﻳﻦ
(۳٦٬۷٥۷),(۸٥٬۹۰۹),,إﺿﺎﻓﺎت إﻟﻰ ﻣﻮﺟﻮدات ﻏﻴﺮ ﻣﻠﻤﻮﺳﺔ
۸۱٬۱٦۸,۳۳٬۳٤۳,,ﻣﺘﺤﺼﻼت ﻣﻦ ﺑﻴﻊ ﻣﻤﺘﻠ�ت وﻣﺼﺎﻧﻊ وﻣﻌﺪات
,,,ﻣﺴﺎﻫﻤﺔ واﺳﺘﺤﻮاذ رأس اﻟﻤﺎل ﻓﻲ اﻟﺸﺮ�ت اﻟﺰﻣﻴﻠﺔ
(۱٬٤٦۷٬۳٤۰),(۱٬۰٤۷٬۷۰۳),۱۰,واﻟﻤﺸﺎرﻳﻊ اﻟﻤﺸﺘﺮﻛﺔ
,,,ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺴﺘﻠﻤﺔ ﻣﻦ ﻣﺸﺎرﻳﻊ ﻣﺸﺘﺮﻛﺔ ﻏﻴﺮ ﺗ�ﻣﻠﻴﺔ
۱٬۱۳٦٬۸٤۱,۸٤۱٬۸۹۱,۱۰,وﺷﺮ�ت زﻣﻴﻠﺔ
۱۰۱٬٦۲۱,۸٥٥,۱۰ ۱۲و,ﻣﺘﺤﺼﻼت ﻣﻦ ﺑﻴﻊ وﺗﺼﻔﻴﺔ اﺳﺘﺜﻤﺎرات ﻓﻲ أدوات ﺣﻘﻮق ﻣﻠﻜﻴﺔ
(۱٬۳۸۰٬۹٦۸),۲٬۱٦۰٬۰٦۰,,اﺳﺘﺜﻤﺎرات ﻗﺼﻴﺮة اﻷﺟﻞ، ﺻﺎﻓﻲ
-,۱٬۱٦۳٬۰٤٥,۳٤,اﻟﻤﺘﺤﺼﻞ ﻣﻦ ﺑﻴﻊ اﻟﻌﻤﻠﻴﺔ ﻏﻴﺮ اﻟﻤﺴﺘﻤﺮة
-,(۱٬۳٦٥٬۱٤۷),۳٤,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ اﻟﻤﺤﻮﻟﺔ
-,(۲۰۲٬۱۰۲),,ﺻﺎﻓﻲ اﻟﻨﻘﺪﻳﺔ ﻣﻦ ﺑﻴﻊ اﻟﻌﻤﻠﻴﺔ ﻏﻴﺮ اﻟﻤﺴﺘﻤﺮة
-,٥٦۲٬٤۲٤,۲-۳٥,ﻣﺘﺤﺼﻼت ﻣﻦ ﺑﻴﻊ ﻣﻮﺟﻮدات ﻣﺤﺘﻔﻆ ﺑﻬﺎ ﻟﻠﺒﻴﻊ
-,(۱٤۲٬۷۸۱),۲-۳٥,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ اﻟﻤﺤّﻮ ﻟﺔ
-,٤۱۹٬٦٤۳,,ﺻﺎﻓﻲ اﻟﺘﺪﻓﻖ اﻟﻨﻘﺪي ﻣﻦ اﺳﺘﺒﻌﺎد اﻟﻤﻮﺟﻮدات اﻟﻤﺤﺘﻔﻆ ﺑﻬﺎ ﻟﻠﺒﻴﻊ
(۱۱٬۷٦٤٬۷٤٥),(۷٬۹۸٦٬۳٦٦),,ﺻﺎﻓﻲ اﻟﻨﻘﺪﻳﺔ اﻟﻤﺴﺘﺨﺪﻣﺔ ﻓﻲ اﻷﻧﺸﻄﺔ اﻻﺳﺘﺜﻤﺎرﻳ ﺔ
