0,1,2,3
٢٠٢٣,٢٠٢٤,إﻳﻀﺎ ح,ﻟﻠﺴﻨﺘﻴ ﻦ اﻟﻤﻨﺘﻬ ﻴﺘﻴ ﻦ ﻓﻲ ٣١ دﻳﺴﻤﺒ ﺮ
,,,اﻷﻧﺸﻄﺔ اﻟﺘﻤﻮﻳﻠﻴ ﺔ
۹٬۰۰۰٬۰۰۰,۱۲٬٦٤۳٬۷٥۰,۱۸,ﻗﺮوض ﻣﺴﺘﻠﻤﺔ
(۹٬۷۰٦٬۱۷٤),(۱۰٬٤۰٥٬۲۷٥),۱۸,ﻗﺮوض ﻣﺴﺪدة
(۱٬٤۸۰٬۸٥۱),(۱٬۰۷٥٬۳۲۹),۱۸,إﻳﺠﺎرات ﻣﺴﺪدة
(۱۱٬٤۰۰٬۹٦۱),(۱۰٬۱۰۰٬٥٤۷),۱۸,ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺪﻓﻮﻋﺔ ﻟﻠﻤﺴﺎﻫﻤﻴﻦ
(٥٬۳۱٦٬٥٦۸),(۲٬٦۱۸٬۷۷۰),۱۸,ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺪﻓﻮﻋﺔ ﻟﺤﻘﻮق اﻟﻤﻠﻜﻴﺔ ﻏﻴﺮ اﻟﻤﺴﻴﻄﺮة
(۱۸٬۹۰٤٬٥٥٤),(۱۱٬٥٥٦٬۱۷۱),,ﺻﺎﻓﻲ اﻟﻨﻘﺪﻳﺔ اﻟﻤﺴﺘﺨﺪﻣﺔ ﻓﻲ اﻷﻧﺸﻄﺔ اﻟﺘﻤﻮﻳﻠﻴ ﺔ
(٦٬۲۱٦٬۳۷۹),(۳٬۱۸۳٬۹٤۱),,اﻟﻨﻘﺺ ﻓﻲ اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ
,,,ﺻﺎﻓﻲ اﻟﺨﺴﺎرة ﻓﻲ ﺳﻌﺮ ﺗﺤﻮﻳﻞ اﻟﻌﻤﻼت اﻷﺟﻨﺒﻴﺔ ﻋﻠﻰ اﻟﻨﻘﺪﻳﺔ
(۲۷٬۳۸۱),(۷٥٬۰۲٥),,وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ
٤۰٬۰۳۹٬۱۳٥,۳۳٬۷۹٥٬۳۷٥,۱۸,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ ﻓﻲ ﺑﺪاﻳﺔ اﻟﺴﻨﺔ
۳۳٬۷۹٥٬۳۷٥,۳۰٬٥۳٦٬٤۰۹,۱۸,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ ﻓﻲ ﻧﻬﺎﻳﺔ اﻟﺴﻨ ﺔ
۳۲٬٤۱٤٬۹۹٦,۳۰٬٥۳۹٬٦٦۸,۱۸,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ
۱٬۳۸۳٬٦٤٦,-,۳٤ ۳٥و,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ )ﻣﺪرﺟﺔ ﻓﻲ ﻣﻮﺟﻮدات ﻣﺤﺘﻔﻆ ﺑﻬﺎ ﻟﻠﺒﻴﻊ(
(۳٬۲٦۷),(۳٬۲٥۹),,ﻧﺎﻗﺼًﺎ: اﻟﻘﺮوض ﻗﺼﻴﺮة اﻷﺟﻞ )اﻟﺴﺤﻮﺑﺎت اﻟﺒﻨﻜﻴﺔ ﻋﻠﻰ اﻟﻤﻜﺸﻮف(
۳۳٬۷۹٥٬۳۷٥,۳۰٬٥۳٦٬٤۰۹,,اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ ﻓﻲ ﻧﻬﺎﻳﺔ اﻟﺴﻨ ﺔ
,,۳٤,اﻟﺘﺪﻓﻘﺎت اﻟﻨﻘﺪﻳﺔ ﻟﻠﻌﻤﻠﻴﺔ ﻏﻴﺮ اﻟﻤﺴﺘﻤﺮة
