0,1,2,3,4,5,6
٢٠٢٣,إﻳﻀﺎ ح ٢٠٢٤,ﻟﻠﺴﻨﺘﻴ ﻦ اﻟﻤﻨﺘﻬ ﻴﺘﻴ ﻦ ﻓﻲ ٣١ دﻳﺴﻤﺒ ﺮ,٢٠٢٣,٢٠٢٤,إﻳﻀﺎ ح,ﻟﻠﺴﻨﺘﻴ ﻦ اﻟﻤﻨﺘﻬ ﻴﺘﻴ ﻦ ﻓﻲ ٣١ دﻳﺴﻤﺒ ﺮ
,,اﻷﻧﺸﻄﺔ اﻟﺘﻤﻮﻳﻠﻴ ﺔ,,,,اﻷﻧﺸﻄﺔ اﻻﺳﺘﺜﻤﺎرﻳ ﺔ
۹٬۰۰۰٬۰۰۰,۱۸ ۱۲٬٦٤۳٬۷٥۰,ﻗﺮوض ﻣﺴﺘﻠﻤﺔ,(۱۰٬٤٥٦٬٥۱۸),(۱۰٬۱۱٤٬۳۲۰),,ﺷﺮاء ﻣﻤﺘﻠ�ت وﻣﺼﺎﻧﻊ وﻣﻌﺪات
(۹٬۷۰٦٬۱۷٤),۱۸ (۱۰٬٤۰٥٬۲۷٥),ﻗﺮوض ﻣﺴﺪدة,(۲۹٬۷۷۰),(٤۲٬۱۲٤),۱۲,ﺷﺮاء اﺳﺘﺜﻤﺎرات ﻓﻲ أدوات ﺣﻘﻮق اﻟﻤﻠﻜﻴﺔ
(۱٬٤۸۰٬۸٥۱),۱۸ (۱٬۰۷٥٬۳۲۹),إﻳﺠﺎرات ﻣﺴﺪدة,۲۸٦٬۹۷۸,٥۰٬۰۰۰,۱۱,ﻣﺘﺤﺼﻼت ﻣﻦ اﺳﺘﺤﻘﺎق اﺳﺘﺜﻤﺎرات ﻓﻲ أدوات دﻳﻦ
(۱۱٬٤۰۰٬۹٦۱),۱۸ (۱۰٬۱۰۰٬٥٤۷),ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺪﻓﻮﻋﺔ ﻟﻠﻤﺴﺎﻫﻤﻴﻦ,(۳٦٬۷٥۷),(۸٥٬۹۰۹),,إﺿﺎﻓﺎت إﻟﻰ ﻣﻮﺟﻮدات ﻏﻴﺮ ﻣﻠﻤﻮﺳﺔ
(٥٬۳۱٦٬٥٦۸),۱۸ (۲٬٦۱۸٬۷۷۰),ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺪﻓﻮﻋﺔ ﻟﺤﻘﻮق اﻟﻤﻠﻜﻴﺔ ﻏﻴﺮ اﻟﻤﺴﻴﻄﺮة,۸۱٬۱٦۸,۳۳٬۳٤۳,,ﻣﺘﺤﺼﻼت ﻣﻦ ﺑﻴﻊ ﻣﻤﺘﻠ�ت وﻣﺼﺎﻧﻊ وﻣﻌﺪات
(۱۸٬۹۰٤٬٥٥٤),(۱۱٬٥٥٦٬۱۷۱),ﺻﺎﻓﻲ اﻟﻨﻘﺪﻳﺔ اﻟﻤﺴﺘﺨﺪﻣﺔ ﻓﻲ اﻷﻧﺸﻄﺔ اﻟﺘﻤﻮﻳﻠﻴ ﺔ,,,,ﻣﺴﺎﻫﻤﺔ واﺳﺘﺤﻮاذ رأس اﻟﻤﺎل ﻓﻲ اﻟﺸﺮ�ت اﻟﺰﻣﻴﻠﺔ
,,,(۱٬٤٦۷٬۳٤۰),(۱٬۰٤۷٬۷۰۳),۱۰,واﻟﻤﺸﺎرﻳﻊ اﻟﻤﺸﺘﺮﻛﺔ
(٦٬۲۱٦٬۳۷۹),(۳٬۱۸۳٬۹٤۱),اﻟﻨﻘﺺ ﻓﻲ اﻟﻨﻘﺪﻳﺔ وﺷﺒﻪ اﻟﻨﻘﺪﻳﺔ,,,,ﺗﻮزﻳﻌﺎت أرﺑﺎح ﻣﺴﺘﻠﻤﺔ ﻣﻦ ﻣﺸﺎرﻳﻊ ﻣﺸﺘﺮﻛﺔ ﻏﻴﺮ ﺗ�ﻣﻠﻴﺔ
,,,۱٬۱۳٦٬۸٤۱,۸٤۱٬۸۹۱,۱۰,وﺷﺮ�ت زﻣﻴﻠﺔ
