0,1,2,3
2023,2024,Also h.,"Centi, Centipede, CT at 31 Decmep R."
,,,Funding activities
"9,000,000","12,643,750",18,Loans received
"(9,706,174)","(10,405,275)",18,Loans repaid
"(1,480,851)","(1,075,329)",18,Reimbursable rent.
"(11,400,961)","(10,100,547)",18,Payout for shareholders.
"(5,316,568)","(2,618,770)",18,Profit distributions paid for uncontrollable property rights.
"(18,904,554)","(11,556,171)",,Net cash used for financing activities
"(6,216,379)","(3,183,941)",,Cash and quasi-cash shortages
,,,Net foreign exchange exchange loss on cash
"(27,381)","(75,025)",,And semi-cash.
"40,039,135","33,795,375",18,Cash and semi-cash at the beginning of the year
"33,795,375","30,536,409",18,Cash and semi-cash at the end of the year
"32,414,996","30,539,668",18,Cash and semi-cash
"1,383,646",-,34 and 35.,Cash and semi-cash (listed in assets held for sale)
"(3,267)","(3,259)",,Less: Short-term loans (bank overdrafts)
"33,795,375","30,536,409",,Cash and semi-cash at the end of the year
,,34,Cash flows for the non-continuing operation
