0,1,2,3
2023,2024,Also h.,"Centi, Centipede, CT at 31 Decmep R."
,,,Investment activities
"(۱۰,456,5۱۸)","(۱۰,۱۱4,۳۲۰)",,Purchase of boring T plants and equipment
"(۲۹,۷۷۰)","(4۲,۱۲4)",۱۲,Purchase of investments in property rights tools
"۲۸6,۹۷۸","5۰,۰۰۰",۱۱,Receivables from the accrual of investments in debt instruments
"(۳6,۷5۷)","(۸5,۹۰۹)",,Additions to intangible assets
"۸۱,۱6۸","۳۳,۳4۳",,Derived from sale of boring Ts and factories and equipment
,,,The contribution and acquisition of capital to evil is a fellow.
"(۱,46۷,۳4۰)","(۱,۰4۷,۷۰۳)",۱۰,Joint projects
,,,The distributions of profits received from non-full joint ventures
"۱,۱۳6,۸4۱","۸4۱,۸۹۱",۱۰,And the evil of a fellow.
"۱۰۱,6۲۱",۸55,And...,Acquisitions from sale and liquidation of investments in property rights devices
"(۱,۳۸۰,۹6۸)","۲,۱6۰,۰6۰",,"Short-term investments, net"
-,"۱,۱6۳,۰45",۳4,Derived from the sale of the non-continuing operation.
-,"(۱,۳65,۱4۷)",۳4,Cash and semi-cash transfers
-,"(۲۰۲,۱۰۲)",,Net cash from the sale of the non-continuing operation
-,"56۲,4۲4",۲-۳5,Collections from sale of assets held for sale
-,"(۱4۲,۷۸۱)",۲-۳5,Cash and semi-cash erased
-,"4۱۹,64۳",,Net cash flow excluding assets held for sale
"(۱۱,۷64,۷45)","(۷,۹۸6,۳66)",,Net cash used for investing activities
