"Oh, my God.",1,2,Three.,4,Five.,Six.
٢٠٢٣,Also H 2024,"Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi.",٢٠٢٣,٢٠٢٤,Also h.,"Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi, Centi."
,,Funding activities,,,,Investment activities
....................................................................................,.............................................................................. 64 5,Loans received,"(5,456)",(44),,Purchase of boring T plants and equipment
(xvi),...................................................................................................................................,Loans repaid,(ii)......................................................................................................................................,(44),۱۲,Purchase of investments in property rights instruments
"(4,5)","(5,5)",Leases paid,..................................................................................................................,I don't know what you're talking about.,۱۱,Receivables from the accrual of investments in debt instruments
(44...),...........................................................................................................................,Distributions of dividends paid to shareholders,"(6,5,5)",(v)............................................................................................................................................................................................,,Additions to intangible assets
(56.5),(6......)............................)............................................................................................................................................................................................................................,Distributions of profits paid for non-dominant property rights,...........................................................................................................................,...........................................................................................................................,,Derived from the sale of boring Ts and factories and equipment.
(455),(5556),Net cash used for financing activities,,,,The contribution and acquisition of capital to evil is a fellow.
,,,(46.44),(44...),۱۰,Joint projects
(66 pages),(Applause) (Applause),Shortfall in cash and semi-cash,,,,Distributions of profits received from non-summary joint ventures
,,,...........................................................................................................................,.......................................................................................................................................................,۱۰,And the evil of a fellow.
,,Net foreign exchange exchange loss on cash,....................................................................................,۸٥٥,And...,Acquisitions from sale and liquidation of investments in title instruments
(Applause),(5.5),And semi-cash.,(Applause) (Applause),..................................................... 66,,"Short-term investments, net"
4 - 5,...............................................................................................................................................................................................................................................................,Cash and semi-cash at the beginning of the year,- What?,,۳٤,Received from sale of the non-continuing process
................................................................ 5..............................................................................................................................................................................................,.......................................... 5....................................................................................................................................................................................................................,Cash and semi-cash at the end of the year,,...............................................................................................................................................,,
,,,- What?,(65.4),۳٤,Cash and semi-cash transfers
..............................................................................................................................................................................................,.............................................................................. 56,Cash and semi-cash,- What?,(2),,Net cash from sale of non-continuing operation
.............................................. 646,...................................................................................................................,Cash and semi-cash (listed in assets held for sale),- What?,562 424,2-5,Collections from sale of assets held for sale
(xvi),(25)......................................................................................................................................,Less: Short-term loans (bank overdrafts),- What?,(XLIV),2-5,Cash and semi-cash erased
................................................................ 5..............................................................................................................................................................................................,........................................................ 5......................................................................................................................................................................................................,Cash and semi-cash at the end of the year,- What?,4. 46. 46,,Net cash flow excluding assets held for sale
,۳٤,Cash flows for the non-continuing operation,(64.45),"(US$6,666)",,Net cash used for investing activities
